service_id,date,exception_type
20230820_MTWTF--_42,20231027,1
20230821_MTWTF--_49,20231027,1
20230821_MTWTF--_50,20231027,1
20230823_MTWTF--_83,20231027,1
20230831_----F--_85,20231027,1
20230928_----F--_91,20231027,1
20220522_-----S-_5,20231028,1
20220904_-----S-_17,20231028,1
20220904_-----S-_26,20231028,1
20220904_-----S-_7,20231028,1
20230820_-----S-_40,20231028,1
20230820_-----S-_43,20231028,1
20230821_-----S-_51,20231028,1
20230928_-----S-_90,20231028,1
20220522_------S_4,20231029,1
20220904_------S_18,20231029,1
20220926_------S_34,20231029,1
20230820_------S_39,20231029,1
20230831_------S_84,20231029,1
20220522_MTWTF--_1,20231030,1
20220522_MTWTF--_2,20231030,1
20220522_MTWTF--_3,20231030,1
20220904_M-W-F--_11,20231030,1
20220904_MT--F--_12,20231030,1
20220904_MT-TF--_13,20231030,1
20220904_MTW-F--_14,20231030,1
20220904_MTWT---_15,20231030,1
20220904_MTWTF--_16,20231030,1
20220904_MTWTF--_19,20231030,1
20220904_MTWTF--_27,20231030,1
20220905_MTWTF--_28,20231030,1
20220905_MTWTF--_38,20231030,1
20220926_M-W-F--_36,20231030,1
20230820_MTWTF--_42,20231030,1
20230821_MTWTF--_49,20231030,1
20230821_MTWTF--_50,20231030,1
20230823_MTWTF--_83,20231030,1
20220522_MTWTF--_1,20231031,1
20220522_MTWTF--_2,20231031,1
20220522_MTWTF--_3,20231031,1
20220904_-T-----_23,20231031,1
20220904_MT--F--_12,20231031,1
20220904_MT-TF--_13,20231031,1
20220904_MTW-F--_14,20231031,1
20220904_MTWT---_15,20231031,1
20220904_MTWTF--_16,20231031,1
20220904_MTWTF--_19,20231031,1
20220904_MTWTF--_27,20231031,1
20220905_MTWTF--_28,20231031,1
20220905_MTWTF--_38,20231031,1
20230820_MTWTF--_42,20231031,1
20230821_MTWTF--_49,20231031,1
20230821_MTWTF--_50,20231031,1
20230823_MTWTF--_83,20231031,1
20220522_MTWTF--_1,20231101,1
20220522_MTWTF--_2,20231101,1
20220522_MTWTF--_3,20231101,1
20220904_--W----_82,20231101,1
20220904_--WT---_10,20231101,1
20220904_M-W-F--_11,20231101,1
20220904_MTW-F--_14,20231101,1
20220904_MTWT---_15,20231101,1
20220904_MTWTF--_16,20231101,1
20220904_MTWTF--_19,20231101,1
20220904_MTWTF--_27,20231101,1
20220905_MTWTF--_28,20231101,1
20220905_MTWTF--_38,20231101,1
20220926_M-W-F--_36,20231101,1
20230820_MTWTF--_42,20231101,1
20230821_MTWTF--_49,20231101,1
20230821_MTWTF--_50,20231101,1
20230823_MTWTF--_83,20231101,1
20220522_MTWTF--_1,20231102,1
20220522_MTWTF--_2,20231102,1
20220522_MTWTF--_3,20231102,1
20220904_---T---_9,20231102,1
20220904_--WT---_10,20231102,1
20220904_MT-TF--_13,20231102,1
20220904_MTWT---_15,20231102,1
20220904_MTWTF--_16,20231102,1
20220904_MTWTF--_19,20231102,1
20220904_MTWTF--_27,20231102,1
20220905_MTWTF--_28,20231102,1
20220905_MTWTF--_38,20231102,1
20220926_---T---_35,20231102,1
20230820_MTWTF--_42,20231102,1
20230821_MTWTF--_49,20231102,1
20230821_MTWTF--_50,20231102,1
20230823_MTWTF--_83,20231102,1
20220522_MTWTF--_1,20231103,1
20220522_MTWTF--_2,20231103,1
20220522_MTWTF--_3,20231103,1
20220904_----F--_8,20231103,1
20220904_M-W-F--_11,20231103,1
20220904_MT--F--_12,20231103,1
20220904_MT-TF--_13,20231103,1
20220904_MTW-F--_14,20231103,1
20220904_MTWTF--_16,20231103,1
20220904_MTWTF--_19,20231103,1
20220904_MTWTF--_27,20231103,1
20220905_MTWTF--_28,20231103,1
20220905_MTWTF--_38,20231103,1
20220926_M-W-F--_36,20231103,1
20230820_----F--_41,20231103,1
20230820_MTWTF--_42,20231103,1
20230821_MTWTF--_49,20231103,1
20230821_MTWTF--_50,20231103,1
20230823_MTWTF--_83,20231103,1
20230831_----F--_85,20231103,1
20230928_----F--_91,20231103,1
20220522_-----S-_5,20231104,1
20220904_-----S-_17,20231104,1
20220904_-----S-_26,20231104,1
20220904_-----S-_7,20231104,1
20230820_-----S-_40,20231104,1
20230820_-----S-_43,20231104,1
20230821_-----S-_51,20231104,1
20230928_-----S-_90,20231104,1
20220522_------S_4,20231105,1
20220904_------S_18,20231105,1
20220926_------S_34,20231105,1
20230820_------S_39,20231105,1
20230831_------S_84,20231105,1
20220522_MTWTF--_1,20231106,1
20220522_MTWTF--_2,20231106,1
20220522_MTWTF--_3,20231106,1
20220904_M-W-F--_11,20231106,1
20220904_MT--F--_12,20231106,1
20220904_MT-TF--_13,20231106,1
20220904_MTW-F--_14,20231106,1
20220904_MTWT---_15,20231106,1
20220904_MTWTF--_16,20231106,1
20220904_MTWTF--_19,20231106,1
20220904_MTWTF--_27,20231106,1
20220905_MTWTF--_28,20231106,1
20220905_MTWTF--_38,20231106,1
20220926_M-W-F--_36,20231106,1
20230820_MTWTF--_42,20231106,1
20230821_MTWTF--_49,20231106,1
20230821_MTWTF--_50,20231106,1
20230823_MTWTF--_83,20231106,1
20220522_MTWTF--_1,20231107,1
20220522_MTWTF--_2,20231107,1
20220522_MTWTF--_3,20231107,1
20220904_-T-----_23,20231107,1
20220904_MT--F--_12,20231107,1
20220904_MT-TF--_13,20231107,1
20220904_MTW-F--_14,20231107,1
20220904_MTWT---_15,20231107,1
20220904_MTWTF--_16,20231107,1
20220904_MTWTF--_19,20231107,1
20220904_MTWTF--_27,20231107,1
20220905_MTWTF--_28,20231107,1
20220905_MTWTF--_38,20231107,1
20230820_MTWTF--_42,20231107,1
20230821_MTWTF--_49,20231107,1
20230821_MTWTF--_50,20231107,1
20230823_MTWTF--_83,20231107,1
20220522_MTWTF--_1,20231108,1
20220522_MTWTF--_2,20231108,1
20220522_MTWTF--_3,20231108,1
20220904_--W----_82,20231108,1
20220904_--WT---_10,20231108,1
20220904_M-W-F--_11,20231108,1
20220904_MTW-F--_14,20231108,1
20220904_MTWT---_15,20231108,1
20220904_MTWTF--_16,20231108,1
20220904_MTWTF--_19,20231108,1
20220904_MTWTF--_27,20231108,1
20220905_MTWTF--_28,20231108,1
20220905_MTWTF--_38,20231108,1
20220926_M-W-F--_36,20231108,1
20230820_MTWTF--_42,20231108,1
20230821_MTWTF--_49,20231108,1
20230821_MTWTF--_50,20231108,1
20230823_MTWTF--_83,20231108,1
20220522_MTWTF--_1,20231109,1
20220522_MTWTF--_2,20231109,1
20220522_MTWTF--_3,20231109,1
20220904_---T---_9,20231109,1
20220904_--WT---_10,20231109,1
20220904_MT-TF--_13,20231109,1
20220904_MTWT---_15,20231109,1
20220904_MTWTF--_16,20231109,1
20220904_MTWTF--_19,20231109,1
20220904_MTWTF--_27,20231109,1
20220905_MTWTF--_28,20231109,1
20220905_MTWTF--_38,20231109,1
20220926_---T---_35,20231109,1
20230820_MTWTF--_42,20231109,1
20230821_MTWTF--_49,20231109,1
20230821_MTWTF--_50,20231109,1
20230823_MTWTF--_83,20231109,1
20220522_MTWTF--_1,20231110,1
20220522_MTWTF--_2,20231110,1
20220522_MTWTF--_3,20231110,1
20220904_----F--_8,20231110,1
20220904_M-W-F--_11,20231110,1
20220904_MT--F--_12,20231110,1
20220904_MT-TF--_13,20231110,1
20220904_MTW-F--_14,20231110,1
20220904_MTWTF--_16,20231110,1
20220904_MTWTF--_19,20231110,1
20220904_MTWTF--_27,20231110,1
20220905_MTWTF--_28,20231110,1
20220905_MTWTF--_38,20231110,1
20220926_M-W-F--_36,20231110,1
20230820_----F--_41,20231110,1
20230820_MTWTF--_42,20231110,1
20230821_MTWTF--_49,20231110,1
20230821_MTWTF--_50,20231110,1
20230823_MTWTF--_83,20231110,1
20230831_----F--_85,20231110,1
20230928_----F--_91,20231110,1
20220522_-----S-_5,20231111,1
20220904_-----S-_17,20231111,1
20220904_-----S-_26,20231111,1
20220904_-----S-_7,20231111,1
20230820_-----S-_40,20231111,1
20230820_-----S-_43,20231111,1
20230821_-----S-_51,20231111,1
20230928_-----S-_90,20231111,1
20220522_------S_4,20231112,1
20220904_------S_18,20231112,1
20220926_------S_34,20231112,1
20230820_------S_39,20231112,1
20230831_------S_84,20231112,1
20220522_MTWTF--_1,20231113,1
20220522_MTWTF--_2,20231113,1
20220522_MTWTF--_3,20231113,1
20220904_M-W-F--_11,20231113,1
20220904_MT--F--_12,20231113,1
20220904_MT-TF--_13,20231113,1
20220904_MTW-F--_14,20231113,1
20220904_MTWT---_15,20231113,1
20220904_MTWTF--_16,20231113,1
20220904_MTWTF--_19,20231113,1
20220904_MTWTF--_27,20231113,1
20220905_MTWTF--_28,20231113,1
20220905_MTWTF--_38,20231113,1
20220926_M-W-F--_36,20231113,1
20230820_MTWTF--_42,20231113,1
20230821_MTWTF--_49,20231113,1
20230821_MTWTF--_50,20231113,1
20230823_MTWTF--_83,20231113,1
20220522_MTWTF--_1,20231114,1
20220522_MTWTF--_2,20231114,1
20220522_MTWTF--_3,20231114,1
20220904_-T-----_23,20231114,1
20220904_MT--F--_12,20231114,1
20220904_MT-TF--_13,20231114,1
20220904_MTW-F--_14,20231114,1
20220904_MTWT---_15,20231114,1
20220904_MTWTF--_16,20231114,1
20220904_MTWTF--_19,20231114,1
20220904_MTWTF--_27,20231114,1
20220905_MTWTF--_28,20231114,1
20220905_MTWTF--_38,20231114,1
20230820_MTWTF--_42,20231114,1
